ID,Number,From,To,WaitToBoard,TotalTime
0,3,6,5,28,40
1,6,6,3,28,62
9,4,4,1,31,59
3,4,1,2,73,86
8,2,1,3,65,87
2,1,1,5,77,117
4,1,1,5,70,110
7,3,3,5,89,105
5,1,5,6,110,122
6,4,5,6,106,118
10,1,5,6,8,22
12,1,5,6,3,17
14,6,5,6,0,14
11,3,6,1,22,52
13,4,1,6,49,81
16,5,4,2,13,30
15,3,2,6,31,56
17,2,5,1,8,39
22,3,3,1,13,29
23,2,1,3,30,53
19,6,1,4,37,72
18,3,3,5,64,85
20,4,1,6,34,90
24,6,1,2,113,126
21,4,2,3,134,146
25,1,1,5,110,151
26,3,2,4,18,35
29,4,2,6,10,47
30,6,4,6,26,45
28,6,1,2,81,95
27,6,1,3,81,106
31,2,5,6,13,25
32,3,5,6,9,21
36,1,6,2,16,54
35,4,6,1,17,69
37,5,6,1,15,67
41,2,6,1,6,58
40,3,1,6,63,101
33,6,3,6,90,113
34,6,4,1,125,162
39,4,3,1,127,153
38,5,2,1,140,155
42,4,6,3,28,51
43,3,6,1,27,65
45,3,1,6,62,100
44,5,5,6,88,101
47,4,1,2,28,40
46,2,2,5,41,61
50,1,1,6,24,68
48,2,5,6,60,70
49,3,2,1,95,105
51,6,1,2,3,15
56,2,2,5,3,31
53,5,4,5,28,41
54,2,5,6,38,48
52,5,4,1,68,96
55,2,3,1,71,88
57,5,1,5,84,111
58,6,1,6,23,65
63,5,1,6,13,55
66,2,3,6,21,45
60,4,6,2,59,99
59,1,6,1,63,117
62,2,6,1,57,111
64,4,5,1,64,106
61,4,3,1,85,111
65,5,2,1,113,125
70,3,1,2,0,11
68,5,1,4,3,38
69,2,3,5,25,47
67,3,1,6,3,59
74,2,3,6,12,45
75,5,6,5,43,56
76,4,4,3,62,75
72,2,6,2,51,98
71,2,4,2,74,98
73,1,4,1,73,107
78,1,1,4,0,23
77,4,1,6,3,43
79,5,1,6,0,40
81,5,4,2,47,64
80,3,1,2,78,88
