ID,Number,From,To,WaitToBoard,TotalTime
0,1,1,6,3,38
1,1,2,6,13,38
4,1,4,1,53,83
3,1,3,1,63,83
2,1,2,1,73,83
5,1,1,3,3,18
7,1,3,2,3,13
8,1,2,1,14,24
6,1,3,4,39,49
9,1,4,5,3,13
10,1,4,6,3,24
11,1,5,6,14,24
12,1,4,3,39,49
13,1,3,2,3,13
16,1,2,1,14,24
14,1,3,4,39,49
15,1,3,4,39,49
18,1,4,5,3,13
20,1,5,6,14,24
17,1,4,3,39,49
19,1,4,3,39,49
25,1,3,6,3,28
26,1,4,6,13,28
24,1,5,2,38,68
23,1,4,2,48,68
21,1,3,2,58,68
22,1,2,1,69,79
27,1,1,4,3,23
32,1,4,3,3,13
33,1,3,1,14,34
34,1,2,1,24,34
29,1,1,6,35,86
30,1,2,6,45,86
28,1,3,6,55,86
31,1,4,6,65,86
35,1,5,6,75,86
36,1,6,3,3,23
37,1,3,6,3,28
40,1,4,6,13,28
42,1,6,1,29,69
38,1,3,1,49,69
39,1,2,1,59,69
41,1,2,6,79,104
